Country,ISO_Code,Level,GDLCODE,Region,"International Wealth Index (IWI)","Poverty (IWI<70)","Poverty (IWI<50)","Poverty (IWI<35)","TV","Refrigerator","Washing machine","Computer","Internet","Cellphone","Phone (all)","Motorbike"
"Egypt","EGY","Subnat","EGYr102","Alexandria",87.2,0.38,0.01,0.01,99.6,98.9,98.7,63.9,,99.9,99.9,1.40
"Egypt","EGY","Subnat","EGYr118","Assuit",83.8,6.73,0.01,0.01,97.6,98.6,99.9,32.1,,99.9,99.9,10.5
"Egypt","EGY","Subnat","EGYr121","Aswan",83.9,5.55,0.77,0.00,98.7,99.2,93.9,35.3,,99.9,96.7,9.27
"Egypt","EGY","Subnat","EGYr112","Behera",86.7,1.41,0.16,0.01,99.1,98.2,97.9,35.4,,99.9,99.9,5.14
"Egypt","EGY","Subnat","EGYr115","Beni Suef",89.0,0.01,0.01,0.01,99.9,99.9,97.7,25.6,,99.9,99.9,12.9
"Egypt","EGY","Subnat","EGYr101","Cairo",87.1,1.34,0.01,0.01,99.9,99.9,97.9,59.5,,99.9,99.9,2.51
"Egypt","EGY","Subnat","EGYr106","Dakahlia",86.8,1.73,0.05,0.01,98.4,97.6,96.2,48.8,,99.9,99.9,15.5
"Egypt","EGY","Subnat","EGYr105","Damietta",88.1,0.51,0.15,0.15,99.4,99.7,99.6,32.6,,99.9,99.9,13.2
"Egypt","EGY","Subnat","EGYr116","Fayoum",87.1,0.01,0.01,0.01,98.0,99.9,91.1,29.8,,99.9,99.9,15.5
"Egypt","EGY","Subnat","EGYr122","Frontier governorates (Red Sea, New Valley, Matroh, North Sainai, South Sainai)",86.5,1.67,0.46,0.53,99.9,99.9,95.1,55.7,,99.9,99.9,9.23
"Egypt","EGY","Subnat","EGYr110","Gharbia",85.3,4.46,0.17,0.00,97.7,98.1,96.3,42.9,,99.9,99.9,15.6
"Egypt","EGY","Subnat","EGYr114","Giza",85.7,0.14,0.01,0.01,99.9,99.9,97.1,42.8,,98.4,96.8,6.85
"Egypt","EGY","Subnat","EGYr113","Ismailia",88.0,1.02,0.03,0.29,99.9,99.9,97.6,58.4,,99.9,99.9,12.6
"Egypt","EGY","Subnat","EGYr109","Kafr El-Sheikh",89.8,0.01,0.01,0.01,99.9,99.9,96.8,41.7,,99.9,99.9,6.20
"Egypt","EGY","Subnat","EGYr108","Kalyubia",82.9,7.12,0.31,0.00,96.3,95.8,95.1,45.8,,99.9,99.9,12.6
"Egypt","EGY","Subnat","EGYr111","Menoufia",86.5,1.64,0.26,0.01,99.9,99.9,97.8,48.1,,99.9,99.9,10.9
"Egypt","EGY","Subnat","EGYr117","Menya",86.5,0.01,0.01,0.01,99.1,99.9,99.9,22.1,,99.9,99.9,13.2
"Egypt","EGY","Subnat","EGYr103","Port Said",89.1,0.56,0.14,0.00,98.9,99.4,98.5,77.0,,99.9,99.9,12.8
"Egypt","EGY","Subnat","EGYr120","Qena",85.7,2.59,0.01,0.01,99.9,99.9,99.7,31.4,,99.9,99.9,14.1
"Egypt","EGY","Subnat","EGYr107","Sharkia",85.7,0.11,0.37,0.01,97.5,96.4,96.8,45.8,,99.9,99.9,23.5
"Egypt","EGY","Subnat","EGYr119","Souhag",82.3,11.0,1.43,0.01,92.1,98.0,91.5,27.7,,99.9,99.9,14.0
"Egypt","EGY","Subnat","EGYr104","Suez",89.5,0.43,0.00,0.00,99.9,99.9,99.0,74.9,,99.9,99.9,3.91
